Name,Email,Status
"Acai Grove, Chester","connie@theacaigrove.com","active"
"Alcove, Leicester","info@thealcoveuk.com","active"
"ARC Edit Cafe, Huddersfield","contact@thearcedit.co.uk","active"
"Base, Falmouth","base_falmouth@icloud.com","active"
"Bhodi Brew, Preston","naomi@bodhibrew.co.uk","active"
"Blenz Coffee, Leamington","info@blenzcoffee.co.uk","active"
"Blossoms, Northampton","tanya.ellis1@icloud.com","active"
"Brew CAFE 7","123amycollins@gmail.com","active"
"BRUNCH CAFE ","Info@brunch.ltd","active"
"Cabana ","jose@cabanacafe.co.uk","active"
"Cafe Floriana","emilia@cafefloriana.co.uk","active"
"Cece Cha, Stevenage","cecechaltd@gmail.com","active"
"Charlotte's of Baslow","hello@charlottesofbaslow.co.uk","active"
"Chiya Cafe","chiyauk@hotmail.com","active"
"COMMON GROUND","eve.holland@icloud.com","active"
"Deep North, Newcastle","info@deepnorth.co.uk","active"
"Duke Street Store","Rosie@grump.shop","active"
"Dune Bakery, Edinburgh","finance@dunebakery.com","active"
"FILTRD, London","info@filtrdcafe.com","active"
"Flakey, Manchester","flakeymcr@gmail.com","active"
"Flavia, Derby","Sales@carpershoponline.co.uk","active"
"Forrest Coffee, Warwickshire","molly@forrestcoffeehouse.co.uk","active"
"Gecko, London","andrew@geckocoffee.house","active"
"HER DAYS Cafe","ashleigh@herdays.co.uk","active"
"Kasa Cafe London","kasa.invoices@gmail.com","active"
"Khaira's Cafe","khairascafe@gmail.com","active"
"Kitchen 126","caravanatthecottage@gmail.com","active"
"Lookumades, Canterbury","accounts@lookumades.uk","active"
"Matcha Lab, Winchester","danielle@thematchalabs.co.uk","active"
"Matchaa Maker, Devon","matchaamaker@gmail.com","active"
"Modern Farmhouse","andreia@modernfarmhouse.co.uk","active"
"Mtcha Made, Essex","Hello@mtchamade.co.uk","active"
"Nuda, Liverpool","l.jones89691430@gmail.com","active"
"Ours Cafe","ourscafeltd@gmail.com","active"
"Revival Fitness, Bournemouth","danielle@revivalwellness.co.uk","active"
"Riptide Espresso, Dorset","hello@riptideespresso.co.uk","active"
"Roasted Coffee, Scotland","roastcoffeehouseltd@gmail.com","active"
"Roots, London","rootsprimrosehill@gmail.com","active"
"Seesaw Cafe, Manchester","Cafe@seesawspace.com","active"
"SOS COFFEE, LONDON","coffeetripltd@gmail.com","active"
"Strutt Bakehouse, Derby","hello@struttbakehouse.co.uk","active"
"Sunday Coffee and Kitchen Ltd","Freyaatk@icloud.com","active"
"The Salad Lab","Saladlableigh@outlook.com","active"
"The Spot, London","admin@thespot.coffee","active"
"Tipples&Tonics, Lichfield","tipplesandtonics@outlook.com","active"
