Name,Contact,Email,Address,Phone
" GLAZED DONUTS","","glazedvegandonuts@gmail.com","GLZD limited 19 Coast Road Newcastle Upon Tyne Tyne & Wear NE7 7RN",""
"Acai Grove, Chester","Connie","connie@theacaigrove.com","72 Lower Bridge Street Chester Cheshire",""
"ACAI&THE TRIBE","KRISTEN","","Multi-Location  Altrincham 24 Shaws Road Altrincham WA14 1QU -- Leamington Spa 79 Regent Street Leamington Spa CV32 5DX -- London 279 Fulham Road London SW10 9PZ -- Manchester 243 Deansgate Manchester M3 4EN",""
"ACG Coffee, Southampton","","acgcoffee@outlook.com","",""
"Alcove, Leicester","Morgan","info@thealcoveuk.com","27 St. Nicholas PI Leicester LE1 4LD",""
"ANCOATS DELI, MANCHESTER","","","6B Murray St Ancoats Manchester  M4 6HS",""
"ARC Edit Cafe, Huddersfield","CLAUDIA","contact@thearcedit.co.uk","6 Huddersfield Road Skelmanthorpe Huddersfield HD8 9AE",""
"At Belle's","","atbelles26@gmail.com","Isabelle Roberts 5 Grosvenor Walk Barnsley S70 6HG",""
"BANDSTAND, NEWCASTLE","","hello@thisisbandstand.com","Exhibition Park Clarkmont Road NE2 4PZ",""
"Base, Falmouth","Emma","base_falmouth@icloud.com","103 Boslowick Road Falmouth TR11 4QD",""
"Bhodi Brew, Preston","NAOMI","naomi@bodhibrew.co.uk","Unit 2 Bridge Court Liverpool Old Road Preston PR4 5BF",""
"Blenz Coffee, Leamington","Charlotte","info@blenzcoffee.co.uk","2A Park Street  Leamington Spa CV32 4QN ",""
"Blossoms, Northampton","Tanya","tanya.ellis1@icloud.com","132 Kingsley Park Terrace Northampton NN27HJ",""
"Brew CAFE 7","Amy Collins ","123amycollins@gmail.com","Town Hall Place  Tamworth  B79 7FJ",""
"BRUNCH CAFE ","","Info@brunch.ltd","36 High St Cheslyn Hay Walsall WS6 7AD",""
"Cabana ","JOSE","jose@cabanacafe.co.uk","41 Barlow Moor Road  Didsbury Manchester  M20 6TW",""
"Cafe Floriana","Emilia Kate Ross","emilia@cafefloriana.co.uk","1-2 Burdon Road Sunderland SR1 1QB",""
"CafeiN","","hq.teamoak@gmail.com","",""
"Cece Cha, Stevenage","ELLA","cecechaltd@gmail.com","Ella de la Victoria 3 Whitehaven Green Stevenage SG1 2XG",""
"Cha & Chill, Bristol","","cha.and.chill.cafe@gmail.com","",""
"Charlotte's of Baslow","Coral","hello@charlottesofbaslow.co.uk","Nether End, Baslow, Derbyshire, DE45 1SR",""
